wrong,suggestion,count,first_page,n_pages,context
adjectif,adjectifs,20,v1p054,15,e différencient selon que cet adjectif qualifie la versificatio
chans,chats,5,v1p046,5,"k, 11), p.10 (il s'agit de la chans. I, , vv.366-7). Sans"
baisant,faisant,4,v1p259,4,s la hisser jusqu'à lui en la baisant! Mais il ne veut pas me
baise,base,4,v1p296,3,vez-vous souffrir que je vous baise ? puisque vous valez tan
modélisant,modélisent,4,v2p152,3,"vec Iouri Lotman son ""système modélisant secondaire"" nous est, e"
résoud,résout,4,v1p108,4,. 36) ? Derek E. T. Nicholson résoud la difficulté en lisant
appat,appât,3,v2p012,3,"qui, lui, signifie en effet, 'appat, leurre, appeau, tromper"
datz,date,3,v1p208,2,nsatz v.95. : /anc d / mas mi datz v.101. : /anc d'el / — s
motz,mot,3,v1p049,3,"motz par . Dès lors, n'es"
preux,peux,3,v2p026,3,"e sais et c'est la vérité: un preux chevalier intime, lorsqu"
stylistiques,stylistique,3,v1p107,3,t également d'autres éléments stylistiques qui contribuent à mettre
calamarsa,calamars,2,v2p090,2,"LOM I DOMENECH, 'Cat. anc. , calamarsa', dans , III (1951-1952)"
chaut,haut,2,v1p289,2,"is de mon malheur, il ne vous chaut guère car -puisque je ne"
châtient,châtiment,2,v2p094,2,eux me sont des verges qui me châtient tellement le coeur avec
clau,clan,2,v1p057,1,laqual en si clau e conte perfiecha senten
clus,plus,2,v1p054,2,"e Charakteristikum des trobar clus ausgesprochen ist"" ( )."
courtil,coutil,2,v1p080,2,"peut avoir de plaisir en son courtil', en sa propre demeure) o"
crit,croit,2,v1p055,2,"ir Stanislas STRONSKI, , éd. crit., Cracovie, Académie des"
cîme,came,2,v1p120,2,et [qu'apparaissent] dans la cîme les premières feuilles d
douz,doux,2,v1p039,2,"ction de coordination: Cars, douz / E fenhz (v.1) Cars joi"
enpres,entres,2,v2p066,1,las ancas fos enpres enguan talan si fos enpr
fûmes,fumes,2,v1p170,2,"e ne vous vois pas là où nous fûmes ensemble, ne croyez pas"
ined,inde,2,v2p228,2,"10. , I, 84. C. APPEL, Prov. ined., 263. A. JEANROY, , XV"
lices,liées,2,v1p220,2,"lier et se battre avec lui en lices, mais qui plus est il le"
lige,lire,2,v1p151,2,"e : 'Dame, si votre homme (lige) perd quoi que ce soit,"
nouv,nous,2,v1p072,2,"D, , Bordeaux, SORDOÏ, 1976 (nouv. éd.), pp.146-147, § 153"
pèche,poche,2,v1p235,2,"surpasse tous car, moi, je ne pèche pas comme un fou (vv.22-"
référent,référant,2,v2p136,2,"rne tout entière vers un même référent collectif, dont la est"
spécularisation,sécularisation,2,v1p246,1,"texte se présente comme une ""spécularisation"" d'un certain nombre d'a"
subst,subit,2,v2p077,2,"cette structure adv.+ adj. + subst. Quoi qu'il en soit, on"
supportai,supportais,2,v1p174,2,"oute la fausseté qu'hélas! je supportai. Noblement, tu me l'enle"
talan,talon,2,v1p088,2,"me volges absolvre Ben ai fol talan, per Crist som soudar*."
tenhz,tenez,2,v1p039,2,"genhz (v.10) Cars, bruns / E tenhz (v.19) Cela étant, nous"
vîmes,dîmes,2,v1p213,1,"Quand nous nous vîmes, mon coeur sauta aussitô"
acout,atout,1,v2p172,1,"XXVI et XXXIX. Voir e.a. (acout), ... Voir e.a. ..."
aitan,gitan,1,v1p239,1,egres ni chautz; per so pretz aitan los ripautz qe van las a
aplatar,aplatir,1,v2p163,1,ars | qrill | pom | tenhz | | aplatar | davallar | espatla | l
appa,papa,1,v1p029,1,"t peu de chansons distinctes, appa- Il ne nous sembla pas"
apriorismes,apriorisme,1,v2p103,1,leur réflexion fondée sur des apriorismes ne tenant compte en aucu
aques,laques,1,v2p113,1,"m'oyris / que s'om trobat non aques, robaria, Car Amour m'a"
argumen,argument,1,v1p151,1,"ète à faire usage d'une autre argumen­ tation, moins cynique e"
attes,actes,1,v1p177,1,"orme que nous avons ici n'est attes- , p.300. On pourra"
ausser,fausser,1,v2p032,1,", gemeiner Fasslichkeit, wird ausser durch die Synonymität vo"
