pageid,before(...-),after(joined)
v1p042,"^1], ni même par 'ensei-","^1], ni même par 'enseigner'[^2], "
v1p042,native qui tend à repré-,native qui tend à représenter la r
v1p042,"éal"", donc ""vrai"". Guil-","éal"", donc ""vrai"". Guillaume de Ne"
v1p042,", bien entendu, une con-",", bien entendu, une contradiction:"
v1p042,ses et ignorant des cho-,ses et ignorant des choses de l'am
v1p042, parlent et qui se *fei-, parlent et qui se *feinon* commen
v1p042,algré son manque d'expé-,"algré son manque d'expérience ""phy"
v1p042, la connaissance livres-," la connaissance livresque, intell"
v1p042,"on, 1901, p.356 (Biblio-","on, 1901, p.356 (Bibliothèque fran"
v1p044,si bien être mis en rap-,si bien être mis en rapport avec *
v1p044,"""[^2]. Nous serions plu-","""[^2]. Nous serions plutôt enclin "
v1p044, plus concret (à une ex-, plus concret (à une exception prè
v1p044,nt auquel le v.6 se rap-,"nt auquel le v.6 se rapporte, *le "
v1p044,rétation de Pattison se-,rétation de Pattison serait des pl
v1p044,e de la langue des trou-,e de la langue des troubadours com
v1p044,s de même pour ses exem-,s de même pour ses exemples se rap
v1p044,"ayez, cayraduras, escai-","ayez, cayraduras, escaire, scayrad"
v1p044, reliés par une conjonc-, reliés par une conjonction de coo
v1p057,"la étant, si l'on compa-","la étant, si l'on compare les coup"
v1p057, à sa structure strophi-," à sa structure strophique, on en "
v1p057, et représentent une pé-, et représentent une période; et q
v1p063,gne) et en *-ignes* (si-,"gne) et en *-ignes* (signes, benig"
v1p063,"vergne, Raimbaut d'Oran-","vergne, Raimbaut d'Orange, Giraut "
v1p063,"er ici une sorte de ""li-","er ici une sorte de ""licence"" poét"
v1p063,"forme *esterinhar, este-","forme *esterinhar, esterinh* dont "
v1p063,ière de lexicologie pro-,ière de lexicologie provençale. De
v1p063,de données vraiment con-,"de données vraiment conclusives, i"
v1p063,"onsidérés, ce qui en di-","onsidérés, ce qui en diminue forte"
v1p074, Si cette seconde inter-, Si cette seconde interprétation n
v1p074,peuvent être qu'un aver-,"peuvent être qu'un avertissement, "
v1p076," Quant à *per que*, plu-"," Quant à *per que*, plutôt que de "
v1p076,duisant une interrogati-,"duisant une interrogative, nous le"
v1p076,mots sur ces deux signi-,mots sur ces deux significations. 
v1p076,"s, double faute - dévoi-","s, double faute - dévoiler le nom "
v1p076,l'encontre de la concep-,l'encontre de la conception idéali
v1p128, semble hautement impro-, semble hautement improbable. Prem
v1p128,s vv.54-55 et 51 (*vail-,s vv.54-55 et 51 (*vailla'm Chausi
v1p128,"ecours, il espère égale-","ecours, il espère également que *S"
v1p145,mentaires et d'interpré-,mentaires et d'interprétations. S'
v1p145,engel corrige la varian-,engel corrige la variante *fuz* (v
v1p145,"i qe'm ven*"", qu'il tra-","i qe'm ven*"", qu'il traduit par: """
v1p145,ne réponse à cette ques-,"ne réponse à cette question: ""*A, "
v1p145,"as acceptable, ""not tex-","as acceptable, ""not textually, lin"
v1p165, lors *m traia* — inter-, lors *m traia* — interprété comme
v1p165,"mpte, les problèmes pos-","mpte, les problèmes possés par ces"
v1p165,t les différentes possi-,t les différentes possibilités de 
v1p165,-être paraître arbitrai-,"-être paraître arbitraires, il n'e"
v1p165, comme une première per-, comme une première personne et qu
v1p165,iter à accepter l'inter-,iter à accepter l'interprétation d
v1p177,la suite de notre lectu-,la suite de notre lecture.
v1p177,"ésent, c'est l'interpré-","ésent, c'est l'interprétation de *"
v1p177,u personnage de la chan-,u personnage de la chanson nous se
v1p191,". I et II)[^1], se mani-",". I et II)[^1], se manifeste, para"
v1p191,bien au fait des techni-,bien au fait des techniques (poéti
v1p191,matiser ceux qui se ser-,matiser ceux qui se servent de *la
v1p191,ment intéressante et si-,ment intéressante et significative
v1p191, a l'avantage de respec-, a l'avantage de respecter la bell
v1p191, propre à ce poème: *pa-, propre à ce poème: *paner/saber* 
v1p210,iatement le mot à la ri-,iatement le mot à la rime seraient
v1p210," à la Dame, il ne se ma-"," à la Dame, il ne se manifeste pas"
v1p210,n'offre aucune résistan-,n'offre aucune résistance aux atta
v1p219,lier de l'indicatif pré-,lier de l'indicatif présent (tout 
v1p219,"tout autre registre, no-","tout autre registre, notamment dan"
v1p219,st en effet une troisiè-,st en effet une troisième personne
v1p219,actement la même opposi-,actement la même opposition entre 
v1p241,"sie de Raimbaut, ou plu-","sie de Raimbaut, ou plutôt telleme"
